name,department
本多清志（Kiyoshi Honda）,计算机科学与技术学院
冯志勇,软件工程学院
韩亚洪,人工智能学院
贺瑞芳,人工智能学院
侯越先,计算机科学与技术学院
李晓红,网络安全学院
廖士中,计算机科学与技术学院
刘世光,计算机科学与技术学院
刘秀龙,计算机科学与技术学院
路文焕,软件工程学院
孟昭鹏,软件工程学院
曲日,计算机科学与技术学院
曲雯毓,软件工程学院
孙美君,计算机科学与技术学院
陶文源,软件工程学院
万亮,软件工程学院
王建荣,计算机科学与技术学院
王龙标,人工智能学院
王文俊,网络安全学院
王晓飞,计算机科学与技术学院
王鑫,人工智能学院
王征,人工智能学院
魏建国,软件工程学院
熊德意,计算机科学与技术学院
徐超,软件工程学院
徐庆,人工智能学院
许光全,网络安全学院
于策,计算机科学与技术学院
张加万,软件工程学院
庄志强,人工智能学院
毕重科,软件工程学院
车明,计算机科学与技术学院
陈锦言,软件工程学院
陈俊洁,软件工程学院
陈世展,计算机科学与技术学院
陈锶奇,软件工程学院
戴维迪,网络安全学院
杜朴风,计算机科学与技术学院
宫秀军,计算机科学与技术学院
韩冬,软件工程学院
郝建业,软件工程学院
何东晓,计算机科学与技术学院
姜佳君,软件工程学院
金弟,计算机科学与技术学院
李杰,软件工程学院
李坤,计算机科学与技术学院
李兴,动画学院
李幼萌,软件工程学院
刘春凤,计算机科学与技术学院
刘健,网络安全学院
刘爽,软件工程学院
刘志磊,人工智能学院
罗韬,计算机科学与技术学院
潘刚,软件工程学院
彭志军,动画学院
饶国政,计算机科学与技术学院
石高涛,计算机科学与技术学院
石红,人工智能学院
苏苒,软件工程学院
孙达志,网络安全学院
孙倩,软件工程学院
孙越恒,网络安全学院
汤善江,计算机科学与技术学院
王博,计算机科学与技术学院
王俊杰,网络安全学院
王旗龙,人工智能学院
王秀锦,计算机科学与技术学院
王赞,软件工程学院
魏继增,计算机科学与技术学院
谢宗霞,软件工程学院
徐君海,人工智能学院
许林英,计算机科学与技术学院
杨柳,人工智能学院
杨雅君,人工智能学院
应翔,软件工程学院
于强,人工智能学院
于永新,人工智能学院
张冰怡,计算机科学与技术学院
张高燕,人工智能学院
张坤龙,计算机科学与技术学院
张蕾,计算机科学与技术学院
张鹏,计算机科学与技术学院
张小旺,计算机科学与技术学院
张亚平,软件工程学院
张怡,软件工程学院
张长青,人工智能学院
章衡,人工智能学院
章亦葵,软件工程学院
赵来平,软件工程学院
赵天娇,软件工程学院
赵增华,计算机科学与技术学院
周晓波,计算机科学与技术学院
朱鹏飞,人工智能学院
鲍彦茹,计算机科学与技术学院
胡静,计算机科学与技术学院
李罡,软件工程学院
李亮,软件工程学院
刘雪莉,软件工程学院
仇超,计算机科学与技术学院
孙晗,软件工程学院
吴洪越,软件工程学院
吴虎统,计算机科学与技术学院
余旻婧,软件工程学院
赵晶,动画学院
陈洁,计算机科学与技术学院
李会彬,软件工程学院
