name,department
曹家乐,电子信息工程系
车延博,自动化系
陈雷,电子信息工程系
陈益广,电气工程系
程泽,电气工程系
褚晶辉,电子信息工程系
崔磊,自动化系
邓斌,自动化系
丁红兵,自动化系
董峰,自动化系
董娜,自动化系
窦立谦,自动化系
杜伯学,电气工程系
方红伟,电气工程系
冯人海,通信工程系
富晓鹏,电气工程系
高爽,电气工程系
高宇,电气工程系
高镇,通信工程系
高忠科,自动化系
葛磊蛟,电气工程系
葛少云,电气工程系
龚惠兴,自动化系
郭继昌,电子信息工程系
郭力,电气工程系
韩乔妮,自动化系
何晋伟,电气工程系
何凯,电子信息工程系
何熠,自动化系
侯春萍,通信工程系
侯惠让,自动化系
侯恺,电气工程系
侯永宏,通信工程系
胡超芳,自动化系
黄翔东,电子信息工程系
冀浩然,电气工程系
冀中,电子信息工程系
贾宏杰,电气工程系
姜惠兰,电气工程系
金建勋,电气工程系
金杰,通信工程系
金宁德,自动化系
金志刚,通信工程系
井佩光,电子信息工程系
孔祥玉,电气工程系
雷建军,通信工程系
雷鸣,电气工程系
李斌,电气工程系
李博通,电气工程系
李长滨,自动化系
李超,电气工程系
李冬辉,自动化系
李刚,自动化系
李宏跃,通信工程系
李进,电气工程系
李素梅,通信工程系
李文辉,通信工程系
李霞林,电气工程系
李燕青,通信工程系
李永丽,电气工程系
李岳楠,通信工程系
李忠磊,电气工程系
刘安安,电子信息工程系
刘博,电气工程系
刘洪,电气工程系
刘怀东,电气工程系
刘婧,通信工程系
刘敬浩,通信工程系
刘丽萍,电气工程系
刘梅,自动化系
刘鑫,通信工程系
刘艳丽,电气工程系
刘一欣,电气工程系
刘迎澍,电气工程系
刘勇,电气工程系
栾文鹏,电气工程系
罗凤章,电气工程系
吕辰刚,通信工程系
吕伟杰,自动化系
吕卫,电子信息工程系
Muhammad Kashif,自动化系
马超,自动化系
毛陆虹,通信工程系
孟庆浩,自动化系
穆云飞,电气工程系
穆朝絮,自动化系
聂为之,电子信息工程系
潘兆庆,通信工程系
庞彦伟,电子信息工程系
彭勃,通信工程系
齐俊桐,自动化系
秦超,电气工程系
任超,自动化系
任群,通信工程系
任尚杰,自动化系
盛浩,电气工程系
沈丽丽,通信工程系
宋丹,电子信息工程系
宋关羽,电气工程系
宋占杰,电子信息工程系
宋战锋,电气工程系
苏寒松,通信工程系
苏毅珊,通信工程系
苏育挺,电子信息工程系
孙冰,电气工程系
孙宏军,自动化系
孙立军,自动化系
谭超,自动化系
唐晨,通信工程系
田栢苓,自动化系
汪清,通信工程系
王宝亮,通信工程系
王常骐,电气工程系
王超,自动化系
王成山,电气工程系
王丹,电气工程系
王继东,电气工程系
王建,电子信息工程系
王江,自动化系
王菊,通信工程系
王守相,电气工程系
王晓远,电气工程系
王一振,电气工程系
王智颖,电气工程系
王中冠,电气工程系
王子雄,通信工程系
魏炜,电气工程系
魏熙乐,自动化系
温伟杰,电气工程系
吴爱国,自动化系
吴志军,通信工程系
夏超英,自动化系
鲜斌,自动化系
肖峻,电气工程系
肖萌,电气工程系
肖谧,电气工程系
肖迁,电气工程系
辛明,通信工程系
信赢,电气工程系
修杰,电气工程系
徐宁,电子信息工程系
徐弢,电气工程系
徐岩,通信工程系
徐英,自动化系
徐正阳,电气工程系
许燕斌,自动化系
薛俊韬,自动化系
薛士敏,电气工程系
薛婷,自动化系
杨爱萍,电子信息工程系
杨洪玖,自动化系
杨嘉琛,通信工程系
杨敬钰,通信工程系
杨双鸣,自动化系
杨挺,电气工程系
杨雄,自动化系
杨阳,通信工程系
杨正瓴,自动化系
叶佳敏,自动化系
叶振忠,自动化系
伊国胜,自动化系
于海涛,自动化系
于浩,电气工程系
于佳丽,电气工程系
于洁潇,电子信息工程系
于晋龙,通信工程系
余晓丹,电气工程系
余贻鑫,电气工程系
俞露杰,电气工程系
岳焕景,通信工程系
岳士弘,自动化系
曾明,自动化系
曾沅,电气工程系
翟路生,自动化系
张炳达,电气工程系
张大鹏,自动化系
张芳,电气工程系
张国山,自动化系
张静,电子信息工程系
张立毅,电子信息工程系
张鹏,电气工程系
张平,通信工程系
张强,电气工程系
张淑芳,电子信息工程系
张淑美,自动化系
张涛,电子信息工程系
张秀云,自动化系
张艳霞,电气工程系
张云,电气工程系
张镇,自动化系
赵博超,电气工程系
赵金利,电气工程系
赵倩宇,电气工程系
赵鑫,电子信息工程系
郑丹丹,自动化系
周圆,通信工程系
朱介北,电气工程系
朱新山,自动化系
宗群,自动化系
左志强,自动化系
